code,name
A00FX,Head cabbages and similar-
A00FY,Head cabbages
A00FZ,Pointed head cabbages
A00GA,Red cabbages
A00GB,Savoy cabbages
A00GC,White cabbage
A00GD,Other head brassica (p)
A00GE,Leafy brassica
A00GF,Chinese cabbages and similar-
A00GG,Chinese cabbages
A00GH,Indian mustards
A00GJ,Pak-choi
A00GK,Choi sum
A00GL,Kales and similar-
A00GM,Curly kales
A00GN,Collards
A00GP,Kohlrabi leaves
A00GQ,Portuguese kales
A00GR,Stem kale
A00GS,Other leafy brassica (c)
A00GT,Sea kale
A00GV,Kohlrabies
A00GX,Bulb vegetables
A00GY,Garlic and similar-
A00GZ,Garlic
A00HA,Pearl onion
A00HB,Onions and similar-
A00HC,Onions
A00HD,Silverskin onions
A00HE,Rakkyo
A00HF,Shallots
A00HG,Spring onions and similar-
A00HH,Spring onions
A00HJ,Welsh onions
A00HK,Other Bulb vegetables
A00HL,Tree onions
A00HM,Kurrat
A00HN,Fruiting vegetables
A00HP,Solanacea
A00HQ,Tomatoes and similar-
A00HR,Globe tomato
A00HS,Beefsteak tomato
A00HT,Plum tomato
A00HV,Oxheart tomato
A00HX,Pear-shaped tomatoes
A00HY,Cherry tomatoes
A00HZ,Peppers and similar-
A00JA,Sweet peppers
A00JB,Chili peppers
A00JC,Aubergines and similar-
A00JD,Aubergines
A00JE,Pepinos
A00JF,Okra
A00JG,Ground cherries (physalis etc.)
A00JH,Gojiberry
A00JJ,Other solanacea
A00JK,Cucurbits fruiting vegetables
A00JL,Cucurbits with edible peel
A00JM,Cucumbers
A00JN,Gherkins and similar-
A00JP,Gherkins
A00JQ,Courgettes and similar-
A00JR,Courgettes
A00JS,Summer squashes
A00JT,Patisson
A00JV,Other cucurbits with edible peel
A00JX,Balsam apple
A00JY,Sopropos
A00JZ,Chayote fruits
A00KA,Bur gherkins
A00KB,Angled luffas
A00KC,"Loofah, smooth"
A00KD,Cucurbits with inedible peel
A00KE,Melons and similar-
A00KF,Melons
A00KG,Kiwanos
A00KH,Pumpkins
A00KJ,Watermelons
A00KK,Other cucurbits with inedible peel
A00KL,Bottle gourds
A00KM,Snake gourds
A00KN,Winter melon
A00KP,Sweet corn
A00KQ,Other fruiting vegetables
A00KR,Leafy vegetables
A00KS,Lettuces and salad plants
A00KT,Lamb's lettuces
A00KV,Italian corn salads
A00KX,Lettuces (generic)
A00KY,Head lettuces
A00KZ,Crisp lettuces
A00LA,Cutting lettuces
A00LB,Lollo rosso
A00LC,Romaines
A00LD,Escaroles and similar-
A00LE,Escaroles
A00LF,Curly endives
A00LG,Radicchio
A00LH,Wild chicories
A00LJ,Sugar loaf chicories
A00LK,Cresses
A00LL,Land cresses
A00LM,Roman rocket and similar-
A00LN,Roman rocket
A00LP,Wall rocket
A00LQ,Red mustard leaves
A00LR,Baby leaf brassica crops
A00LS,Mizuna
A00LT,Komatsuna
A00LV,Rape greens
A00LX,Rutabaga greens
A00LY,Turnip tops
A00LZ,Baby leaf indian mustard leaves
A00MA,Baby leaf crops (including brassica species) and similar-
A00MB,Radish leaves (including radish tops)
A00MC,Mallow leaves
A00MD,Dandelions
A00ME,Marsh marigold leaves
A00MF,Roselle leaves
A00MG,Spinach-type leaves
A00MH,Spinaches and similar-
A00MJ,Spinaches
A00MK,New Zealand spinaches
A00ML,Amaranth leaves
A00MM,Malabar nightshades
A00MN,Purslanes and similar-
A00MP,Purslanes
A00MQ,Winter purslanes
A00MR,Agretti
A00MS,Glassworts
A00MT,Garden sorrel
A00MV,Oraches leaves
A00MX,Chards
A00MY,Other spinaches and similar leaves
A00MZ,Goosefoot
A00NA,Morning glory
A00NB,Grape leaves
A00NC,Watercresses and similar-
A00ND,Watercresses
A00NE,Witloofs
A00NF,Other lettuces and salad plants
A00NG,Balsam pear leaves
A00NH,Box thorn
A00NJ,Cassava leaves
A00NK,Papaya leaves
A00NL,"Nightshade, black"
A00NM,Pepper leaves
A00NN,Plantain leaves
A00NP,Pokeweed
A00NQ,Salsify leaves
A00NR,Senna leaves
A00NS,Sowthistle leaves
A00NT,Tannia leaves
A00NV,Taro leaves
A00NX,Sweet potato leaves
A00NY,Blackjack leaves
A00NZ,Scurvy-grass
A00PA,Common nettle
A00PB,Legumes with pod
A00PC,Beans (with pods) and similar-
A00PD,Runner beans (with pods)
A00PE,Slicing bean (young pods)
A00PF,Yardlong beans (with pods)
A00PG,French beans (with pods)
A00PH,Broad beans (with pods)
A00PJ,Lima beans (with pods)
A00PK,Goa bean (young pods)
A00PL,Lablab beans (with pods)
A00PM,Jack beans (with pods)
A00PN,Mat bean (young pods)
A00PP,Black gram (young pods)
A00PQ,Guar beans (with pods)
A00PR,Mung beans (with pods)
A00PS,Sword bean (young pods)
A00PT,Rice beans (with pods)
A00PV,Black eyed peas (with pods)
A00PX,Peas (with pods) and similar-
A00PY,Garden peas (with pods)
A00PZ,Chickpeas (with pods)
A00QA,Podded pea (young pods)
A00QB,Winged pea (young pods)
A00QC,Pigeon peas (with pods)
A00QD,"Lentils, fresh"
A00QE,Lentil (young pods)
A00QF,Root and tuber vegetables (excluding starchy- and sugar-)
A00QG,Beetroots
A00QH,Carrots
A00QJ,Celeriacs
A00QK,Horseradish roots
A00QL,Horseradish roots spice
A00QM,Angelica roots
A00QN,Lovage roots
A00QP,Gentiana roots
A00QQ,Jerusalem artichokes
A00QR,Parsnip roots
A00QS,Parsley roots
A00QT,Radishes and similar-
A00QV,Radishes
A00QX,Black radishes
A00QY,Daikon
A00QZ,Tigernuts
A00RA,Salsifies
A00RB,Spanish salsifies
A00RC,Scorzonera
A00RD,Swedes
A00RE,Turnips
A00RF,Additional not listed root and tuber vegetables (excluding starchy- and sugar-)
A00RG,Ullucu
A00RH,Oca
A00RJ,Arracacha
A00RK,Arrowhead
A00RL,"Burdock, greater or edible"
A00RM,Turnip-rooted chervil
A00RN,Crosnes
A00RP,Rampion roots
A00RQ,Skirrets
A00RR,Stems/stalks eaten as vegetables
A00RS,Globe artichokes
A00RT,Asparagus
A00RV,Bamboo shoots
A00RX,Cardoons
A00RY,Celeries
A00RZ,Celtuce
A00SA,Florence fennels
A00SB,Leeks
A00SC,Palm hearts
A00SD,Rhubarbs
A00SE,Other Stem vegetables
A00SF,"Sprouts, shoots and similar"
A00SG,Adzuki bean sprouts
A00SH,Alfalfa sprouts
A00SJ,Barley sprouts
A00SK,Common bean sprouts
A00SL,Chickpea sprouts
A00SM,Garden cress sprouts
A00SN,Fenugreek sprouts
A00SP,Lentil sprouts
A00SQ,Millet sprouts
A00SR,Mung bean sprouts
A00SS,Mustard sprouts
A00ST,Peas shoots and sprouts
A00SV,Radish sprouts
A00SX,Rice sprouts
A00SY,Soyabeans sprouts
A00SZ,Sunflower shoots and sprouts
A00TA,Wheatgrass
A00TB,Other species used for the production of sprouts or shoots
A00TC,"Fungi, mosses and lichens"
A00TD,Wild fungi and similar-
A00TE,Chanterelles
A00TF,Field mushroom
A00TG,Ceps
A00TH,Saffron milk cap
A00TJ,Truffles
A00TK,Morels
A00TL,Honey mushroom
A00TM,Gypsy mushroom
A00TN,Other wild mushrooms
A00TP,Cultivated fungi and similar-
A00TQ,Common mushrooms
A00TR,Pearl oyster mushrooms
A00TS,Shiitake
A00TT,Paddy straw mushroom
A00TV,Other cultivated mushrooms (p)
A00TY,Dried mushrooms
A00TZ,Canned mushrooms
A00VA,Algae and prokaryotes organisms
A00VB,Green algae
A00VC,Wakame
A00VD,Sea lettuce
A00VE,Red algae
A00VF,Eucheuma
A00VG,Carrageen mosses
A00VH,Laver
A00VJ,Dulse
A00VK,Brown algae
A00VL,Hijiki
A00VM,Kombu
A00VN,Sea spaghetti
A00VP,Spirulina
A00VQ,Herbs and edible flowers
A00VR,Angelica (leaves and stems)
A00VS,Aniseed myrtle
A00VT,Lemon balm
A00VV,Basil
A00VX,Laurel
A00VY,Borage
A00VZ,Burnet
A00XA,Celery leaves
A00XB,Chervil
A00XC,Chives and similar-
A00XD,Chives
A00XE,Chinese chives
A00XF,Coriander leaves
A00XG,Curry leaves
A00XH,Dill leaves
A00XJ,Epazote
A00XK,Evening primrose leaves
A00XL,Fennel leaves
A00XM,Hyssop
A00XN,Kaffir lime leaves
A00XP,Lavender infusion flowers
A00XQ,Lemon myrtle (fresh herb)
A00XR,Lemongrass
A00XS,Lovage leaves
A00XT,Marigold flowers
A00XV,Oregano
A00XX,Marjoram
A00XY,Yellow sweet clover infusion leaves
A00XZ,Mints
A00YA,Pennyroyal
A00YB,Peppermint
A00YC,Spearmint
A00YD,Nasturtium flowers and leaves
A00YE,Parsley
A00YF,Rosemary
A00YG,Herb of grace
A00YH,Sage
A00YJ,Sassafras leaves
A00YK,Winter savory
A00YL,Sorrel
A00YM,Sweet cicely
A00YN,Tansy infusion leaves
A00YP,Tarragon
A00YQ,Thyme
A00YR,Vietnamese mint
A00YS,White ginger
A00YT,Winter cress
A00YV,Wintergreen leaves
A00YX,Sweet woodruff infusion leaves
A00YY,Wormwoods infusion leaves
A00YZ,Hops
A00ZA,Processed or preserved vegetables and similar
A00ZB,Preserved tomatoes not concentrated
A00ZC,"Preserved tomato, whole or pieces"
A00ZD,Tomato puree
A00ZE,Preserved concentrated tomatoes
A00ZF,Tomato paste
A00ZG,Sun-dried tomatoes
A00ZH,Fermented or pickled vegetables
A00ZJ,Pickled / marinated vegetables
A00ZK,Sauerkraut
A00ZM,Garlic puree
A00ZN,Mashed vegetable puree
A00ZP,Sweet corn canned
A00ZQ,Dried vegetables
A00ZS,Starchy roots and tubers
A00ZT,Potatoes
A00ZV,New potatoes
A00ZX,Main-crop potatoes
A00ZY,Tropical root and tuber vegetables
A00ZZ,Cassava roots
A010A,Tannias
A010B,Taros
A010C,Sweet potatoes
A010D,Yams
A010E,Mexican yam beans
A010F,Andean yam beans
A010G,Arrowroots
A010H,Other tropical root and tuber vegetables
A010J,Topee tambu
A010K,Canna
A010L,Greater galangal roots
A010M,Lesser galangal roots
A010N,Chayote roots
A010P,Goa bean root
A010Q,Alocasia
A010R,Sugar plants
A010T,Sugar beet roots
A010V,Sugar canes
A010Y,Sweet sorghum canes
A010Z,Chicory roots
A011B,Starchy root and tuber products
A011C,Dried potato products
A011D,Potato flakes
A011E,Mashed potato powder
A011F,Potato starch
A011G,Potato flour
A011J,Tapioca starch
A011P,Potato boiled
A011R,Potato baked
A011Y,"Legumes fresh seeds (beans, peas etc.)"
A011Z,Beans (fresh seeds without pods) and similar-
A012A,Broad beans (without pods)
A012B,Borlotti or other common beans (without pods)
A012C,Jack beans (without pods)
A012D,Lima beans (without pods)
A012E,Black eyed peas (without pods)
A012F,Soyabeans (without pods)
A012G,Peas (without pods) and similar-
A012J,Garden peas (without pods)
A012K,Pigeon peas (without pods)
A012L,Lentils (without pods)
A012N,Lupins (without pods)
A012P,Peanuts (fresh seeds)
A012Q,Bambara groundnut (fresh seeds)
A012R,Pulses (dried legume seeds)
A012S,Beans (dry) and similar-
A012T,Borlotti or other common beans (dry)
A012V,Kidney bean (dry seeds)
A012X,Navy beans (dry seeds)
A012Y,Field beans (dry seeds)
A012Z,Flageolets (dry seeds)
A013A,Lima beans (dry)
A013B,Rice beans (dry)
A013C,Black gram (dry seeds)
A013D,Mung beans (dry)
A013E,Azuki beans (dry)
A013F,Tepary bean (dry seeds)
A013G,Mat bean (dry seeds)
A013H,Broad beans (dry)
A013J,Garden peas (dry)
A013K,Marrowfat pea (dry seeds)
A013L,Field (maple) pea (dry seeds)
A013M,Chickpeas (dry)
A013N,Black eyed peas (dry)
A013P,Pigeon peas (dry)
A013Q,Lentils (dry)
A013R,Bambara groundnut (dry seeds)
A013S,Lupins (dry)
A013T,Other pulses (e)
A013V,Chickling vetches (dry)
A013X,Vetches (dry)
A013Y,Jack beans (dry)
A013Z,Lablab beans (dry)
A014A,Horse gram (dry seeds)
A014B,Kersting's groundnut (dry seeds)
A014C,Tree nuts
A014D,Almonds
A014E,Bitter almonds
A014F,Almonds sweet
A014G,Brazil nuts
A014H,Cashew nuts
A014J,Chestnuts
A014K,Coconuts
A014L,Hazelnuts
A014M,Macadamias
A014N,Pecans
A014P,Pine nut kernels and similar-
A014Q,Pistachios
A014R,Walnuts
A014S,Other Tree nuts
A014T,Beech nuts
A014V,Paradise nut
A014X,Butter nut
A014Y,Hickory nuts
A014Z,Japanese horse-chestnut
A015A,Canarium nuts (indicum)
A015B,Pachira nut
A015C,Pili nuts
A015D,Tropical almond
A015E,Oilseeds and oilfruits
A015F,Oilseeds
A015G,Linseeds
A015H,Peanuts
A015J,Poppy seeds
A015K,Sesame seeds
A015L,Sunflower seeds
A015M,Rapeseeds
A015N,Turnip rape seeds
A015P,Soyabeans for oil
A015Q,Mustard seeds and similar-
A015R,Canola seeds
A015S,Mustard seeds
A015T,"Mustard seed, field"
A015V,Cotton seeds
A015X,Pumpkin seeds
A015Y,Safflower seeds
A015Z,Borage seeds
A016A,Gold of pleasure seeds
A016B,Hemp seeds
A016C,Castor beans
A016D,Other seeds (including elsewhere non-listed oilseeds and other seeds)
A016E,Moringa
A016F,Niger seeds
A016G,Tucum seeds
A016H,Shea nuts
A016J,Grape seeds
A016K,Maize germ
A016L,Oil fruits
A016M,Olives for oil production
A016N,Oil palms kernels
A016P,Oil palms fruits
A016Q,Kapok
A016R,Other oil fruits
A016S,Spices
A016T,Dried herbs
A016V,"Angelica, dry"
A016X,"Balm leaves, dry"
A016Y,"Basil, dry"
A016Z,"Bay leaves, dry"
A017A,"Borage, dry"
A017B,"Celery leaves, dry"
A017C,"Fennel, dry"
A017D,"Hyssop, dry"
A017E,"Lavender, dry"
A017F,"Lovage, dry"
A017G,"Marjoram, dry"
A017H,"Mints, dry"
A017J,"Rosemary, dry"
A017K,"Rue, dry"
A017L,"Sage, dry"
A017M,"Savory, dry"
A017N,"Sweet cicely, dry"
A017P,"Tansy and related species, dry"
A017Q,"Thyme, dry"
A017R,"Wintergreen leaves, dry"
A017S,"Woodruff, dry"
A017T,"Wormwoods, dry"
A017V,Other dried herbs
A017X,Seed spices
A017Y,Anise seed
A017Z,Nigella seed
A018A,Celery seed
A018B,Angelica seed
A018C,Lovage seed
A018D,Coriander seed
A018E,Cumin seed
A018F,Dill seed
A018G,Fennel seed
A018H,Fenugreek seed
A018J,Nutmeg seed
A018K,Other spices seeds (p)
A018L,Ajowan fruit
A018M,Annatto seed
A018N,Brazilian pepper fruit
A018P,Wattleseeds
A018Q,Fruit spices
A018R,Allspice fruit
A018S,Sichuan pepper fruit
A018T,Caraway fruit
A018V,Cardamom fruit
A018X,Juniper berry
A018Y,"Peppercorn (black, green and white) and similar-"
A018Z,"Peppercorn (black, green and white)"
A019A,Green pepper
A019B,White pepper
A019C,Black pepper
A019D,Pink pepper fruit
A019E,Long pepper fruit
A019F,West African pepper fruit
A019G,Cubeb fruit
A019H,Vanilla
A019J,Tamarind
A019K,"Peppers, dried"
A019L,Paprika powder
A019M,Other fruit spices
A019N,Candlenut seeds
A019P,Grain of paradise fruit
A019Q,Nasturtium pods
A019R,Star anise fruit
A019S,Bark spices
A019T,Cinnamon bark and similar-
A019V,Cinnamon bark
A019X,Cassia bark (generic)
A019Y,Other Bark spices
A019Z,Root and rhizome spices
A01AA,Liquorice roots
A01AB,Ginger roots
A01AC,Turmeric roots
A01AD,Other Root and rhizome spices
A01AE,"Angelica root, dry"
A01AF,Asafetida roots
A01AG,Calamus infusion roots
A01AH,Elecampane infusion roots
A01AJ,Galangal roots
A01AK,Bud spices
A01AL,Cloves buds
A01AM,Capers buds
A01AN,Other Bud spices
A01AP,Cassia buds
A01AQ,Flower pistil spices
A01AR,Saffron
A01AS,Other Flower pistil spices
A01AT,Aril spices
A01AV,Mace aril
A01AX,Other Aril spices
A01AY,"Processed legumes, nuts, oilseeds and spices"
A01AZ,Canned or jarred legumes
A01BB,Canned or jarred common beans
A01BC,Canned or jarred peas
A01BD,Canned or jarred lentils
A01BE,Canned or jarred chickpea
A01BG,Soya proteins
A01BH,Chickpea flour
A01BJ,Primary derivatives from nuts and similar seeds
A01BK,Coconut milk (cocos nucifera) liquid
A01BL,Chestnut puree (castanea vulgaris)
A01BM,Sesame paste (tahini) (sesamus indicum)
A01BN,Peanut butter
A01BP,Table olives
A01BQ,Table olives ready for consumption
A01BR,"Olives, processed"
A01BT,Citrus fruits
A01BV,Pine nut kernels
A01BX,Lemons and similar-
A01BY,Lemons
A01BZ,Citrons
A01CA,Limes
A01CB,Mandarins and similar-
A01CC,Calamondins
A01CD,Mandarins
A01CE,Clementines
A01CF,King mandarins
A01CG,Cleopatra mandarins
A01CH,Tangerines
A01CJ,Mediterranean mandarins
A01CK,Satsumas
A01CL,Minneolas
A01CM,Tangors
A01CN,Tankan mandarin
A01CP,Oranges and similar-
A01CQ,Chironjas
A01CR,"Oranges, sweet"
A01CS,Blood oranges
A01CT,Bitter oranges
A01CV,Chinottos
A01CX,Grapefruits and similar-
A01CY,Grapefruits
A01CZ,Shaddocks
A01DA,Natsudaidais
A01DB,Pomelos
A01DC,Tangelos (except minneolas)
A01DD,Tangelolos
A01DE,Ugli fruits
A01DF,Other Citrus fruits
A01DG,Pome fruits
A01DH,Apples and similar-
A01DJ,Apples
A01DK,Crab apples
A01DL,Loquats
A01DM,Medlars
A01DN,Pears and similar-
A01DP,Pears
A01DQ,Nashi pears
A01DR,Quinces
A01DS,Other Pome fruits
A01DT,Berries and small fruits
A01DV,Grapes and similar fruits
A01DX,Table grapes
A01DY,Wine grapes
A01DZ,Strawberries and similar-
A01EA,Strawberries
A01EB,Wild strawberries
A01EC,Musky strawberries
A01ED,Cane fruits
A01EE,Blackberries
A01EF,Dewberries and similar-
A01EG,Dewberries
A01EH,Boysenberries
A01EJ,Loganberries
A01EK,Olallieberries
A01EL,Youngberries
A01EM,Cloudberries
A01EN,Raspberries and similar-
A01EP,Raspberries (red and yellow)
A01EQ,Black raspberries
A01ER,Wineberries
A01ES,Other cane fruits
A01ET,Salmonberries
A01EV,Thimbleberries
A01EX,Other small fruits and berries
A01EY,Blueberries
A01EZ,Northern highbush blueberry
A01FA,Lowbush Blueberry
A01FB,Rabbiteye blueberry
A01FC,Huckleberries
A01FD,Bearberries
A01FE,Bilberries (generic)
A01FF,Bilberries (European blueberries)
A01FG,Bog bilberries
A01FH,Cranberries
A01FJ,Lingonberries and similar
A01FK,Cowberries
A01FL,Lingonberries
A01FM,"Currants (black, red and white)"
A01FN,Blackcurrants
A01FP,Redcurrants
A01FQ,Gooseberries and similar-
A01FR,Rose hips and similar-
A01FS,Mulberries (black and white)
A01FT,Arbutus berries
A01FV,Azaroles
A01FX,Elderberries
A01FY,Juneberries
A01FZ,Sea buckthorns
A01GA,Hawberries
A01GB,Other not listed other small fruits and berries
A01GC,Crowberries
A01GD,Sorb fruits
A01GE,Stone fruits
A01GF,Apricots
A01GG,Cherries and similar-
A01GH,Sour cherries
A01GJ,Sour cherries dark red
A01GK,Cherries (sweet)
A01GL,Peaches and similar-
A01GM,Common peaches
A01GN,Nectarines
A01GP,Plums and similar-
A01GQ,Plums
A01GR,Damsons
A01GS,Mirabelles
A01GT,Cherry plums
A01GV,Chickasaw plums
A01GX,Gages
A01GY,Japanese plums
A01GZ,Sloes
A01HA,American plums
A01HB,Other Stone fruits
A01HC,Chokecherries
A01HD,Miscellaneous fruits (generic)
A01HE,Miscellaneous fruits with edible peel
A01HF,Dates
A01HG,Figs
A01HH,Table olives and similar-
A01HJ,Kumquats and similar-
A01HK,Marumi kumquats
A01HL,Carambolas and similar-
A01HM,Carambolas
A01HN,Bilimbis
A01HP,Kaki and similar-
A01HQ,Kaki
A01HR,Chinese persimmons
A01HS,Grumichamas
A01HT,Malay pommarosas
A01HV,Pommarosas
A01HX,Surinam cherries
A01HY,Carobs
A01HZ,Tamarillos
A01JA,Other Miscellaneous fruits with edible peel
A01JB,Ambarellas
A01JC,Acerolas
A01JD,Carandas
A01JE,Cashew apples
A01JF,"Chinese olives, black, white"
A01JG,Coco plums
A01JH,Desert dates
A01JJ,Hog plums
A01JK,Jaboticabas
A01JL,Indian jujubes
A01JM,Chinese jujubes
A01JN,Natal plums
A01JP,Otaheite gooseberries
A01JQ,Aonlas
A01JR,Sea grapes
A01JS,"Miscellaneous fruits with inedible peel, small"
A01JT,"Kiwi fruits (green, red, yellow)"
A01JV,Litchis
A01JX,Mangosteens
A01JY,Pulasans
A01JZ,Jambuls
A01KA,Rambutans
A01KB,Java apples
A01KC,Passionfruits
A01KD,Prickly pears
A01KE,Star apples
A01KF,American persimmons
A01KG,"Other Miscellaneous fruits with inedible peel, small"
A01KH,Yellow sapotes
A01KJ,Black sapotes
A01KK,Green sapotes
A01KL,Mammey sapotes
A01KM,White sapotes
A01KN,Akee apples
A01KP,Doum palm fruits
A01KQ,Longans
A01KR,Marmaladedos
A01KS,Naranjillas
A01KT,Sapodillas
A01KV,Santols
A01KX,Spanish limes
A01KY,Tonka bean
A01KZ,Elephant apples
A01LA,"Miscellaneous fruits with inedible peel, large"
A01LB,Avocados
A01LC,Common banana
A01LD,Dwarf bananas
A01LE,Plantains
A01LF,Mangoes
A01LG,Papayas
A01LH,Granate apples
A01LJ,Cherimoyas
A01LK,Wild sweetsops
A01LL,Sweetsops
A01LM,Ilamas
A01LN,Guavas and similar-
A01LP,Pineapples
A01LQ,Breadfruits
A01LR,Jackfruits
A01LS,Durians
A01LT,Soursops
A01LV,"Other Miscellaneous fruits with inedible peel, large"
A01LX,Babacos
A01LY,Feijoas
A01LZ,Mammey apple
A01MA,Dried fruit
A01MB,Dried prunes
A01MC,Dried apples
A01MD,Dried apricots
A01ME,Dried vine fruits (raisins etc.)
A01MF,Dried dates
A01MG,Dried figs
A01MH,Dried pears
A01MJ,Dried bananas
A01MK,Dried mangoes
A01NN,Canned or jarred fruit
A01NP,Canned or jarred mandarin
A01NQ,Canned or jarred apple
A01NR,Canned or jarred pear
A01NS,Canned or jarred apricot
A01NT,Canned or jarred plum
A01NV,Canned or jarred sweet cherry
A01NX,Canned or jarred sour cherry
A01NY,Canned or jarred peach
A01NZ,Canned or jarred table grape
A01PA,Canned or jarred cranberry
A01PB,Canned or jarred pineapple
A01PC,Canned or jarred mixed fruit
A01PS,Candied fruits
A01PT,"Candied fruit, cherry"
A01PV,"Candied fruit, bananas"
A01PX,"Candied fruit, pineapple"
A01PY,"Candied fruit, grape"
A01PZ,"Candied fruit, pear"
A01QA,"Candied fruit, apple"
A01QB,"Candied fruit, mixed fruit"
A01QC,"Candied fruit, orange peel"
A01QE,Citrus fruit peel
A01QF,Mixed dried fruits
A01QH,Fruit chips
A01QJ,Fruit or fruit-vegetable puree
A01QK,Canned fruit cocktail
A01QM,Fruit in vinegar or brine
A01QN,Fermented fruit products
A01QQ,Chocolate coated dried fruit
A01QS,Animal fresh meat
A01QT,Generic traditionally farmed mammals fresh meat
A01QV,Bovine fresh meat
A01QX,"Cow, ox or bull fresh meat"
A01QY,Calf fresh meat
A01QZ,Buffalo fresh meat
A01RA,"Buffalo, african fresh meat"
A01RB,"Buffalo, cape fresh meat"
A01RC,"Buffalo, american fresh meat"
A01RD,"Buffalo, water fresh meat"
A01RE,Yak fresh meat
A01RF,Zebu fresh meat
A01RG,Pig fresh meat
A01RH,Sheep fresh meat
A01RJ,Sheep (adult) fresh meat
A01RK,Lamb fresh meat
A01RL,Goat fresh meat
A01RM,Equine fresh meat
A01RN,Horse fresh meat
A01RP,Asses-mules-hinnies fresh meat
A01RQ,Rabbit fresh meat
A01RR,Other traditionally farmed mammals fresh meat
A01RS,Kangaroo fresh meat
A01RT,Camel fresh meat
A01RV,"Camel, bactrian fresh meat"
A01RX,Dromedary fresh meat
A01RY,Llama or lama fresh meat
A01RZ,Traditionally game mammals fresh meat
A01SA,Deer fresh meat
A01SB,"Deer, fallow fresh meat"
A01SC,"Deer, red fresh meat"
A01SD,Wapiti elk meat
A01SE,European moose meat
A01SF,Reindeer meat
A01SG,Roe deer meat
A01SH,Wild boar fresh meat
A01SJ,Hare fresh meat
A01SK,Other traditionally game mammals fresh meat
A01SL,Moufflon fresh meat
A01SM,Chamois fresh meat
A01SN,Poultry fresh meat (muscle meat)
A01SP,Chicken fresh meat
A01SQ,Turkey fresh meat
A01SR,Duck fresh meat
A01SS,Goose fresh meat
A01ST,Ratites fresh meat
